Instancia,Budget,percentual,Tempo B&B,Solução B&B,Tempo Lagran,Solução Lagran
v10_43,21,0.1,0.82,112.49,0.01,112.49
,108,0.5,0.75,94.93,0.06,94.43
,195,0.9,0.39,92.79,0.04,92.79
v50_353,610,0.1,1800,2714.56,58.37,2698.32
,3052,0.5,1202.54,2501.08,57.19,2501.08
,5493,0.9,32.51,2478.54,1.11,2478.61
v100_2411,2260,0.1,1800,-,-,-
,11303,0.5,1800,-,-,-
,20346,0.9,-,-,-,-
D1039,11,0.1,0.33,73,0.02,73
,58,0.5,1.67,33,0.08,33
,104,0.9,0.22,21,0.01,21
D50498,329,0.1,1800,177,70.94,175
,1647,0.5,1080.15,74,48.64,74
,2964,0.9,30.53,56,18.94,56
D100978,1349,0.1,1800,-,1822.45,391
,6747,0.5,1800,-,1233.84,201
,12145,0.9,1800,-,1805.47,143
F1044,17,0.1,0.34,30,0.01,30
,87,0.5,0.16,9,0.01,9
,157,0.9,0.21,9,0.01,9
F50150,81,0.1,417.3,232,12.93,232
,405,0.5,126.49,100,43.09,100
,729,0.9,1.74,83,39.08,83
F100440,1780,0.1,-,-,212.51,372
,8902,0.5,-,-,1657.01,143
,16023,0.9,33.14,117,2.32,117
H1045,60,0.1,0.22,34,0.01,34
,302,0.5,3.33,21,0.5,21
,543,0.9,0.56,12,0.03,12
H501225,602,0.1,1800,185,-,-
,3009,0.5,1800,152,-,-
,5417,0.9,1800,-,-,-
H1004950,1232,0.1,-,-,-,-
,6160,0.5,-,-,-,-
,11088,0.9,-,-,-,-
