Tipo Resultado;Instancia;Numero Configuracao;Rodadas
Atraso;instancias/entradas_reais/e100-9.in;0;991.0
Intervalo;instancias/entradas_reais/e100-9.in;0;141.92655897140503
Custo_Orcamentario;instancias/entradas_reais/e100-9.in;0;53.0
Iteraca_Saida;instancias/entradas_reais/e100-9.in;0;29
Atraso;instancias/entradas_reais/e100-9.in;1;959.0
Intervalo;instancias/entradas_reais/e100-9.in;1;152.87644815444946
Custo_Orcamentario;instancias/entradas_reais/e100-9.in;1;108.0
Iteraca_Saida;instancias/entradas_reais/e100-9.in;1;29
Atraso;instancias/entradas_reais/e100-9.in;2;899.0
Intervalo;instancias/entradas_reais/e100-9.in;2;157.20398497581482
Custo_Orcamentario;instancias/entradas_reais/e100-9.in;2;162.0
Iteraca_Saida;instancias/entradas_reais/e100-9.in;2;30
Atraso;instancias/entradas_reais/e100-3.in;0;1039.0
Intervalo;instancias/entradas_reais/e100-3.in;0;54.656007051467896
Custo_Orcamentario;instancias/entradas_reais/e100-3.in;0;53.0
Iteraca_Saida;instancias/entradas_reais/e100-3.in;0;12
Atraso;instancias/entradas_reais/e100-3.in;1;960.0
Intervalo;instancias/entradas_reais/e100-3.in;1;147.52619409561157
Custo_Orcamentario;instancias/entradas_reais/e100-3.in;1;105.0
Iteraca_Saida;instancias/entradas_reais/e100-3.in;1;29
Atraso;instancias/entradas_reais/e100-3.in;2;939.0
Intervalo;instancias/entradas_reais/e100-3.in;2;56.84663200378418
Custo_Orcamentario;instancias/entradas_reais/e100-3.in;2;159.0
Iteraca_Saida;instancias/entradas_reais/e100-3.in;2;11
Atraso;instancias/entradas_reais/e100-6.in;0;1060.0
Intervalo;instancias/entradas_reais/e100-6.in;0;140.4744119644165
Custo_Orcamentario;instancias/entradas_reais/e100-6.in;0;60.0
Iteraca_Saida;instancias/entradas_reais/e100-6.in;0;29
Atraso;instancias/entradas_reais/e100-6.in;1;997.0
Intervalo;instancias/entradas_reais/e100-6.in;1;148.2421681880951
Custo_Orcamentario;instancias/entradas_reais/e100-6.in;1;119.0
Iteraca_Saida;instancias/entradas_reais/e100-6.in;1;29
Atraso;instancias/entradas_reais/e100-6.in;2;956.0
Intervalo;instancias/entradas_reais/e100-6.in;2;153.61232709884644
Custo_Orcamentario;instancias/entradas_reais/e100-6.in;2;176.0
Iteraca_Saida;instancias/entradas_reais/e100-6.in;2;29
Atraso;instancias/entradas_reais/e100-4.in;0;1033.0
